id,league,season,timestamp,date,status,home,away,goals_home,goals_away,halftime_home,halftime_away
,Premier League,2024,,2024-12-01T13:30:00+00:00,FT,Manchester United,Everton,4,0,2,0
,Premier League,2024,,2024-12-01T13:30:00+00:00,FT,Tottenham,Fulham,1,1,0,0
,Premier League,2024,,2024-12-01T13:30:00+00:00,FT,Chelsea,Aston Villa,3,0,2,0
,Premier League,2024,,2024-12-01T16:00:00+00:00,FT,Liverpool,Manchester City,2,0,1,0
,Premier League,2024,,2024-12-03T19:30:00+00:00,FT,Ipswich,Crystal Palace,0,1,0,0
,Premier League,2024,,2024-12-03T20:15:00+00:00,FT,Leicester,West Ham,3,1,1,0
,Premier League,2024,,2024-12-04T19:30:00+00:00,FT,Newcastle,Liverpool,3,3,1,0
,Premier League,2024,,2024-12-04T19:30:00+00:00,FT,Southampton,Chelsea,1,5,1,3
,Premier League,2024,,2024-12-04T19:30:00+00:00,FT,Everton,Wolves,4,0,2,0
,Premier League,2024,,2024-12-04T19:30:00+00:00,FT,Manchester City,Nottingham Forest,3,0,2,0
,Premier League,2024,,2024-12-04T20:15:00+00:00,FT,Arsenal,Manchester United,2,0,0,0
,Premier League,2024,,2024-12-04T20:15:00+00:00,FT,Aston Villa,Brentford,3,1,3,0
,Premier League,2024,,2024-12-05T19:30:00+00:00,FT,Fulham,Brighton,3,1,1,0
,Premier League,2024,,2024-12-05T20:15:00+00:00,FT,Bournemouth,Tottenham,1,0,1,0
,Premier League,2024,,2024-12-07T15:00:00+00:00,FT,Crystal Palace,Manchester City,2,2,1,1
,Premier League,2024,,2024-12-07T15:00:00+00:00,FT,Brentford,Newcastle,4,2,2,2
,Premier League,2024,,2024-12-07T15:00:00+00:00,FT,Aston Villa,Southampton,1,0,1,0
,Premier League,2024,,2024-12-07T17:30:00+00:00,FT,Manchester United,Nottingham Forest,2,3,1,1
,Premier League,2024,,2024-12-08T14:00:00+00:00,FT,Fulham,Arsenal,1,1,1,0
,Premier League,2024,,2024-12-08T14:00:00+00:00,FT,Leicester,Brighton,2,2,0,1
,Premier League,2024,,2024-12-08T14:00:00+00:00,FT,Ipswich,Bournemouth,1,2,1,0
,Premier League,2024,,2024-12-08T16:30:00+00:00,FT,Tottenham,Chelsea,3,4,2,1
,Premier League,2024,,2024-12-09T20:00:00+00:00,FT,West Ham,Wolves,2,1,0,0
,Premier League,2024,,2024-12-14T15:00:00+00:00,FT,Newcastle,Leicester,4,0,1,0
,Premier League,2024,,2024-12-14T15:00:00+00:00,FT,Wolves,Ipswich,1,2,0,1
,Premier League,2024,,2024-12-14T15:00:00+00:00,FT,Liverpool,Fulham,2,2,0,1
,Premier League,2024,,2024-12-14T15:00:00+00:00,FT,Arsenal,Everton,0,0,0,0
,Premier League,2024,,2024-12-14T17:30:00+00:00,FT,Nottingham Forest,Aston Villa,2,1,0,0
,Premier League,2024,,2024-12-15T14:00:00+00:00,FT,Brighton,Crystal Palace,1,3,0,2
,Premier League,2024,,2024-12-15T16:30:00+00:00,FT,Manchester City,Manchester United,1,2,1,0
,Premier League,2024,,2024-12-15T19:00:00+00:00,FT,Southampton,Tottenham,0,5,0,5
,Premier League,2024,,2024-12-15T19:00:00+00:00,FT,Chelsea,Brentford,2,1,1,0
,Premier League,2024,,2024-12-16T20:00:00+00:00,FT,Bournemouth,West Ham,1,1,0,0
,Premier League,2024,,2024-12-21T12:30:00+00:00,FT,Aston Villa,Manchester City,2,1,1,0
,Premier League,2024,,2024-12-21T15:00:00+00:00,FT,West Ham,Brighton,1,1,0,0
,Premier League,2024,,2024-12-21T15:00:00+00:00,FT,Brentford,Nottingham Forest,0,2,0,1
,Premier League,2024,,2024-12-21T15:00:00+00:00,FT,Ipswich,Newcastle,0,4,0,3
,Premier League,2024,,2024-12-21T17:30:00+00:00,FT,Crystal Palace,Arsenal,1,5,1,3
,Premier League,2024,,2024-12-22T14:00:00+00:00,FT,Manchester United,Bournemouth,0,3,0,1
,Premier League,2024,,2024-12-22T14:00:00+00:00,FT,Fulham,Southampton,0,0,0,0
,Premier League,2024,,2024-12-22T14:00:00+00:00,FT,Everton,Chelsea,0,0,0,0
,Premier League,2024,,2024-12-22T14:00:00+00:00,FT,Leicester,Wolves,0,3,0,3
,Premier League,2024,,2024-12-22T16:30:00+00:00,FT,Tottenham,Liverpool,3,6,1,3
,Premier League,2024,,2024-12-26T12:30:00+00:00,FT,Manchester City,Everton,1,1,1,1
,Premier League,2024,,2024-12-26T15:00:00+00:00,FT,Newcastle,Aston Villa,3,0,1,0
,Premier League,2024,,2024-12-26T15:00:00+00:00,FT,Bournemouth,Crystal Palace,0,0,0,0
,Premier League,2024,,2024-12-26T15:00:00+00:00,FT,Southampton,West Ham,0,1,0,0
,Premier League,2024,,2024-12-26T15:00:00+00:00,FT,Chelsea,Fulham,1,2,1,0
,Premier League,2024,,2024-12-26T15:00:00+00:00,FT,Nottingham Forest,Tottenham,1,0,1,0
,Premier League,2024,,2024-12-26T17:30:00+00:00,FT,Wolves,Manchester United,2,0,0,0
,Premier League,2024,,2024-12-26T20:00:00+00:00,FT,Liverpool,Leicester,3,1,1,1
,Premier League,2024,,2024-12-27T19:30:00+00:00,FT,Brighton,Brentford,0,0,0,0
,Premier League,2024,,2024-12-27T20:15:00+00:00,FT,Arsenal,Ipswich,1,0,1,0
,Premier League,2024,,2024-12-29T14:30:00+00:00,FT,Leicester,Manchester City,0,2,0,1
,Premier League,2024,,2024-12-29T15:00:00+00:00,FT,Fulham,Bournemouth,2,2,1,0
,Premier League,2024,,2024-12-29T15:00:00+00:00,FT,Everton,Nottingham Forest,0,2,0,1
,Premier League,2024,,2024-12-29T15:00:00+00:00,FT,Tottenham,Wolves,2,2,2,1
,Premier League,2024,,2024-12-29T15:00:00+00:00,FT,Crystal Palace,Southampton,2,1,1,1
,Premier League,2024,,2024-12-29T17:15:00+00:00,FT,West Ham,Liverpool,0,5,0,3
,Premier League,2024,,2024-12-30T19:45:00+00:00,FT,Ipswich,Chelsea,2,0,1,0
,Premier League,2024,,2024-12-30T19:45:00+00:00,FT,Aston Villa,Brighton,2,2,1,1
,Premier League,2024,,2024-12-30T20:00:00+00:00,FT,Manchester United,Newcastle,0,2,0,2
